City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Ocós,GT,3,2022-04-25,66,14.5094,-92.1933,84.38,5.14
Mataura,NZ,90,2022-04-25,76,-46.1927,168.8643,54.48,12.1
George Town,MY,20,2022-04-25,79,5.4112,100.3354,84.13,0.0
Tarkwa,GH,100,2022-04-25,91,5.3064,-1.9847,72.81,2.73
Olinda,BR,75,2022-04-25,74,-8.0089,-34.8553,82.13,9.22
Kalabo,ZM,38,2022-04-25,75,-14.97,22.6814,65.82,4.56
Qaanaaq,GL,49,2022-04-25,67,77.484,-69.3632,0.66,6.82
Teya,RU,100,2022-04-25,85,60.3778,92.6267,26.62,6.91
Lakes Entrance,AU,100,2022-04-25,70,-37.8811,147.981,63.16,3.4
Comodoro Rivadavia,AR,0,2022-04-25,53,-45.8667,-67.5,48.06,35.68
Rikitea,PF,100,2022-04-25,85,-23.1203,-134.9692,73.36,13.29
Hobart,AU,75,2022-04-25,85,-42.8794,147.3294,57.25,8.05
São João da Barra,BR,100,2022-04-25,82,-21.6403,-41.0511,74.61,11.92
Bluff,NZ,91,2022-04-25,80,-46.6,168.3333,54.81,29.24
Lebu,CL,7,2022-04-25,77,-37.6167,-73.65,51.39,6.11
Opuwo,NA,1,2022-04-25,50,-18.0607,13.84,63.9,4.16
Sola,VU,97,2022-04-25,71,-13.8833,167.55,81.34,5.08
Bredasdorp,ZA,75,2022-04-25,75,-34.5322,20.0403,56.21,4.94
Albany,US,73,2022-04-25,47,42.6001,-73.9662,61.45,9.1
Kapit,MY,100,2022-04-25,99,2.0167,112.9333,75.38,1.83
Vaini,TO,75,2022-04-25,83,-21.2,-175.2,78.96,5.75
Khatanga,RU,88,2022-04-25,95,71.9667,102.5,0.79,5.79
Kariba,ZW,0,2022-04-25,78,-16.5167,28.8,67.55,3.0
Lincoln,US,100,2022-04-25,53,40.8,-96.667,49.28,20.71
Codrington,AU,90,2022-04-25,50,-38.2667,141.9667,64.56,5.68
Puerto Ayora,EC,73,2022-04-25,89,-0.7393,-90.3518,72.37,6.71
Erzurum Province,TR,1,2022-04-25,60,40.0,41.5,38.88,3.22
Atuona,PF,24,2022-04-25,74,-9.8,-139.0333,79.07,17.07
Houma,US,40,2022-04-25,85,29.5958,-90.7195,78.01,11.5
Hermanus,ZA,96,2022-04-25,72,-34.4187,19.2345,58.78,3.56
Leshan,CN,100,2022-04-25,72,29.5623,103.7639,68.92,3.58
Mar del Plata,AR,53,2022-04-25,70,-38.0023,-57.5575,64.87,14.0
Vao,NC,100,2022-04-25,63,-22.6667,167.4833,74.64,22.95
Arraial do Cabo,BR,100,2022-04-25,76,-22.9661,-42.0278,75.11,10.96
Broome,US,20,2022-04-25,45,42.2506,-75.833,72.37,9.22
Beringovskiy,RU,100,2022-04-25,77,63.05,179.3167,29.05,9.33
Ferrol,ES,59,2022-04-25,89,43.4832,-8.2369,52.34,6.98
Punta Arenas,CL,100,2022-04-25,93,-53.15,-70.9167,41.11,6.91
Hamilton,US,0,2022-04-25,54,39.1834,-84.5333,77.09,8.05
Richards Bay,ZA,100,2022-04-25,92,-28.783,32.0377,66.49,11.07
Shumskiy,RU,100,2022-04-25,67,54.8318,99.1328,28.33,11.77
Lima,PE,89,2022-04-25,72,-12.0432,-77.0282,70.9,8.55
Bambous Virieux,MU,14,2022-04-25,72,-20.3428,57.7575,75.22,16.49
Yellowknife,CA,20,2022-04-25,52,62.456,-114.3525,37.92,13.8
